qPCR target 	RT-PCR kit    	extraction kit 	PCR instrument 	mean_2_e3 	sd_2_e3 	n_labs_2_e3 	mean_1_e3 	sd_1_e3 	n_labs_1_e3 	mean_5_e2 	sd_5_e2 	n_labs_5_e2 	mean_2_e2 	sd_2_e2 	n_labs_2_e2
N           	Kinghawk      	various        	various        	    33.15 	 1.931  	         41 	    34.02 	 1.796  	         41 	    34.9  	 1.786  	         41 	    35.74 	 1.238  	         34
N           	Maccura       	various        	various        	    32.23 	 1.235  	         13 	    33.0  	 1.291  	         13 	    34.0  	 1.225  	         13 	    35.55 	 0.8202 	         11
N           	EasyDiagnosis 	various        	various        	    33.6  	 2.004  	         63 	    34.06 	 2.925  	         62 	    35.05 	 2.128  	         63 	    36.2  	 1.673  	         45
N           	Sansure       	various        	various        	    31.46 	 1.712  	         57 	    32.43 	 1.746  	         56 	    33.33 	 2.174  	         57 	    34.71 	 1.47   	         42
N           	Bioperfectus  	various        	various        	    33.94 	 2.329  	         83 	    35.05 	 2.23   	         83 	    35.81 	 2.033  	         83 	    36.83 	 1.79   	         65
N           	Zybio         	various        	various        	    31.34 	 2.403  	         67 	    32.28 	 2.275  	         67 	    33.24 	 2.29   	         67 	    34.14 	 2.506  	         51
N           	ABT           	various        	various        	    32.0  	 2.184  	         97 	    32.85 	 2.547  	         97 	    33.88 	 2.157  	         97 	    35.15 	 1.987  	         78
ORF1ab      	BioGerm       	Tianlong       	various        	    31.86 	 1.388  	        112 	    32.81 	 1.366  	        112 	    33.85 	 1.409  	        113 	    35.12 	 1.577  	         95
ORF1ab      	DaAn          	Tianlong       	various        	    33.05 	 1.431  	         21 	    34.24 	 1.3    	         21 	    35.43 	 1.434  	         21 	    36.75 	 1.528  	         16
ORF1ab      	Kinghawk      	Tianlong       	various        	    33.56 	 2.093  	         18 	    34.61 	 2.38   	         18 	    35.11 	 1.811  	         18 	    35.47 	 1.457  	         15
ORF1ab      	Maccura       	Tianlong       	various        	    30.2  	 1.304  	          5 	    31.4  	 0.894  	          5 	    32.2  	 1.304  	          5 	    33.75 	 0.5    	          4
ORF1ab      	EasyDiagnosis 	Tianlong       	various        	    31.6  	 1.517  	          5 	    32.6  	 0.894  	          5 	    34.0  	 1.225  	          5 	    35.0  	 1.414  	          4
ORF1ab      	Zybio         	Tianlong       	various        	    30.38 	 1.996  	          8 	    31.63 	 1.408  	          8 	    32.25 	 2.55   	          8 	    33.17 	 2.317  	          6
ORF1ab      	ABT           	Tianlong       	various        	    31.73 	 2.187  	         15 	    32.73 	 1.87   	         15 	    33.33 	 1.589  	         15 	    34.0  	 1.206  	         12
N           	BioGerm       	Tianlong       	various        	    33.01 	 1.597  	        112 	    33.89 	 1.516  	        111 	    34.69 	 1.421  	        112 	    35.69 	 1.452  	         94
N           	DaAn          	Tianlong       	various        	    35.19 	 1.537  	         21 	    36.24 	 1.338  	         21 	    36.71 	 1.488  	         21 	    37.38 	 1.36   	         16
N           	Kinghawk      	Tianlong       	various        	    33.11 	 2.246  	         18 	    33.94 	 2.014  	         18 	    34.61 	 1.65   	         18 	    35.6  	 1.242  	         15
N           	Maccura       	Tianlong       	various        	    31.6  	 0.8944 	          5 	    32.8  	 1.304  	          5 	    33.8  	 1.304  	          5 	    35.25 	 0.9574 	          4
N           	EasyDiagnosis 	Tianlong       	various        	    34.0  	 1.414  	          5 	    35.0  	 1.225  	          5 	    35.4  	 0.8944 	          5 	    36.33 	 1.155  	          3
N           	Zybio         	Tianlong       	various        	    30.38 	 3.068  	          8 	    31.63 	 3.159  	          8 	    32.25 	 3.536  	          8 	    33.0  	 3.521  	          6
N           	ABT           	Tianlong       	various        	    31.67 	 2.257  	         15 	    32.8  	 1.897  	         15 	    33.67 	 1.633  	         15 	    34.5  	 1.243  	         12
ORF1ab      	BioGerm       	Tianlong       	ABI7500        	    31.79 	 1.673  	         33 	    32.79 	 1.556  	         33 	    33.76 	 1.601  	         33 	    35.26 	 1.607  	         27
ORF1ab      	DaAn          	Tianlong       	ABI7500        	    33.38 	 1.506  	          8 	    34.63 	 1.188  	          8 	    35.88 	 1.553  	          8 	    37.33 	 1.033  	          6
ORF1ab      	Kinghawk      	Tianlong       	ABI7500        	    32.6  	 2.966  	          5 	    34.0  	 3.317  	          5 	    34.0  	 1.581  	          5 	    34.75 	 2.062  	          4
ORF1ab      	Maccura       	Tianlong       	ABI7500        	    30.2  	 1.304  	          5 	    31.4  	 0.8944 	          5 	    32.2  	 1.304  	          5 	    33.75 	 0.5    	          4
ORF1ab      	ABT           	Tianlong       	ABI7500        	    32.5  	 3.271  	          6 	    33.17 	 2.639  	          6 	    33.67 	 2.251  	          6 	    34.25 	 1.893  	          4
N           	BioGerm       	Tianlong       	ABI7500        	    33.27 	 1.485  	         33 	    34.24 	 1.324  	         33 	    34.88 	 1.219  	         33 	    36.04 	 1.315  	         27
N           	DaAn          	Tianlong       	ABI7500        	    34.5  	 1.069  	          8 	    35.63 	 1.061  	          8 	    36.13 	 1.356  	          8 	    37.0  	 1.095  	          6
N           	Kinghawk      	Tianlong       	ABI7500        	    32.4  	 1.342  	          5 	    33.4  	 1.342  	          5 	    34.6  	 1.517  	          5 	    35.0  	 1.155  	          4
N           	Maccura       	Tianlong       	ABI7500        	    31.6  	 0.8944 	          5 	    32.8  	 1.304  	          5 	    33.8  	 1.304  	          5 	    35.25 	 0.9574 	          4
N           	ABT           	Tianlong       	ABI7500        	    31.17 	 2.137  	          6 	    32.5  	 2.074  	          6 	    33.33 	 1.506  	          6 	    33.75 	 0.9574 	          4
ORF1ab      	BioGerm       	DaAn           	various        	    32.73 	 0.6467 	         11 	    34.27 	 1.489  	         11 	    35.73 	 1.421  	         11 	    37.14 	 1.864  	          7
ORF1ab      	DaAn          	DaAn           	various        	    33.47 	 2.048  	         32 	    34.47 	 2.17   	         32 	    35.34 	 1.928  	         32 	    36.19 	 2.6    	         31
ORF1ab      	EasyDiagnosis 	DaAn           	various        	    33.33 	 1.033  	          6 	    34.17 	 1.472  	          6 	    35.17 	 0.983  	          6 	    36.75 	 1.258  	          4
ORF1ab      	Sansure       	DaAn           	various        	    33.14 	 2.61   	          7 	    33.33 	 2.944  	          6 	    35.0  	 2.708  	          7 	    38.0  	 1.871  	          5
ORF1ab      	ABT           	DaAn           	various        	    32.5  	 2.221  	         16 	    33.5  	 2.0    	         16 	    34.25 	 2.113  	         16 	    35.08 	 1.656  	         13
N           	BioGerm       	DaAn           	various        	    33.45 	 1.214  	         11 	    34.82 	 1.079  	         11 	    35.45 	 1.128  	         11 	    36.14 	 1.215  	          7
N           	DaAn          	DaAn           	various        	    34.69 	 2.086  	         32 	    35.66 	 1.825  	         32 	    36.47 	 1.704  	         32 	    37.69 	 1.289  	         26
N           	EasyDiagnosis 	DaAn           	various        	    34.83 	 1.472  	          6 	    33.5  	 4.231  	          6 	    36.17 	 1.722  	          6 	    37.33 	 1.155  	          3
N           	Sansure       	DaAn           	various        	    31.0  	 2.449  	          7 	    31.33 	 2.944  	          6 	    33.0  	 2.769  	          7 	    35.6  	 1.342  	          5
N           	ABT           	DaAn           	various        	    32.0  	 1.897  	         16 	    33.0  	 1.966  	         16 	    34.13 	 1.928  	         16 	    35.15 	 1.819  	         13
