qPCR target 	RT-PCR kit 	extraction kit 	PCR instrument 	mean_2_e3 	sd_2_e3 	n_labs_2_e3 	mean_1_e3 	sd_1_e3 	n_labs_1_e3 	mean_5_e2 	sd_5_e2 	n_labs_5_e2 	mean_2_e2 	sd_2_e2 	n_labs_2_e2
N           	BioGerm    	ZhongkeBio     	ABI7500        	33.14     	1.231   	14          	33.86     	1.027   	14          	34.64     	1.277   	14          	35.64     	1.502   	11
N           	BioGerm    	Zybio          	ABI7500        	32.38     	1.502   	13          	33.69     	1.843   	13          	34.38     	1.758   	13          	35.0      	1.549   	11
ORF1ab      	BioGerm    	BioGerm        	SLAN           	33.11     	0.6009  	9           	34.44     	0.8819  	9           	35.11     	0.928   	9           	36.67     	0.5164  	6
ORF1ab      	BioGerm    	Bioperfectus   	SLAN           	32.17     	1.329   	6           	33.0      	1.095   	6           	33.5      	0.8367  	6           	35.0      	0.8165  	4
ORF1ab      	BioGerm    	Tianlong       	SLAN           	32.13     	1.204   	31          	33.06     	1.413   	31          	34.06     	1.162   	32          	35.43     	1.55    	28
ORF1ab      	BioGerm    	Zhijiang       	SLAN           	32.8      	0.8367  	5           	34.2      	0.4472  	5           	34.0      	0.7071  	5           	35.33     	1.155   	3
ORF1ab      	BioGerm    	Zybio          	SLAN           	32.4      	0.8433  	10          	33.1      	0.7379  	10          	34.5      	0.8498  	10          	35.56     	0.7265  	9
ORF1ab      	BioGerm    	BioTeke        	SLAN           	32.8      	1.304   	5           	33.6      	0.8944  	5           	34.8      	1.483   	5           	36.25     	1.708   	4
ORF1ab      	BioGerm    	DaAn           	SLAN           	32.7      	0.6749  	10          	34.2      	1.549   	10          	35.6      	1.43    	10          	37.14     	1.864   	7
ORF1ab      	BioGerm    	ComWin         	SLAN           	33.2      	3.701   	5           	32.75     	1.708   	4           	34.4      	2.702   	5           	35.25     	2.062   	4
N           	BioGerm    	BioGerm        	SLAN           	33.67     	0.7071  	9           	34.56     	0.527   	9           	35.44     	0.527   	9           	36.33     	1.033   	6
N           	BioGerm    	Bioperfectus   	SLAN           	33.17     	0.7528  	6           	34.5      	0.8367  	6           	34.83     	0.7528  	6           	36.25     	0.9574  	4
N           	BioGerm    	Tianlong       	SLAN           	33.1      	1.274   	31          	34.0      	1.285   	24          	34.74     	1.154   	31          	35.7      	1.137   	27
N           	BioGerm    	Zhijiang       	SLAN           	34.0      	1.0     	5           	34.6      	0.8944  	5           	35.0      	0.7071  	5           	35.67     	1.155   	3
N           	BioGerm    	Zybio          	SLAN           	33.3      	0.9487  	10          	34.5      	1.08    	10          	35.4      	1.075   	10          	36.33     	0.7071  	9
N           	BioGerm    	BioTeke        	SLAN           	33.8      	1.304   	5           	34.8      	1.095   	5           	35.2      	0.8367  	5           	36.5      	1.0     	4
N           	BioGerm    	DaAn           	SLAN           	33.3      	1.16    	10          	34.2      	1.095   	5           	35.3      	1.059   	10          	36.14     	1.215   	7
N           	BioGerm    	ComWin         	SLAN           	33.4      	2.881   	5           	34.0      	2.449   	5           	34.6      	2.702   	5           	35.5      	2.082   	4
